ResponseId,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
R_00000000000134,,1,,,1,1,,,1,,1,,,,,3,,1,,2,4,,,,,,,,,,2,4,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,
R_00000000000135,,,,,,,1,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000136,2,1,3,2,1,2,1,2,1,2,1,,,,,,4,,2,1,3,,,,,,,4,,,,,3,,,,,,,1,,,,2,,,,,,,,,,,,,,,,
R_00000000000137,,1,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000139,2,1,3,2,1,1,2,2,1,1,2,,,,,2,,4,,3,1,,,,,,,11,,,3,4,,,8,10,9,12,,,6,5,,,7,1,2,,,,,,,,,,,,,
R_00000000000140,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,4,,2,,,1,,,,,,,1,5,8,,2,,,,7,,12,9,6,11,,10,4,3,,,,,,,,,,,,,
R_00000000000141,,1,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000142,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,2,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,2,,4,,,3,,,,
R_00000000000143,,1,,,1,1,,,1,,,,,,,1,,4,,3,2,,,,,,,,,,5,7,,3,,,,1,,2,4,9,8,,6,10,11,,,,,,,,,,,,,
R_00000000000144,3,1,2,1,2,1,2,1,2,2,1,,,,,,3,,4,,,1,2,,,,,12,6,,11,,2,,,10,5,,8,,,7,,4,9,1,3,,,,,,,,,,,,,
R_00000000000145,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,2,,3,4,,,,,,,,,,3,1,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,
R_00000000000146,2,1,3,2,1,2,1,1,2,1,2,,,,,,,3,,2,4,1,,,,,,3,10,8,,5,12,,,9,6,2,,,,1,11,4,7,,,,,,,,,,,,,,,
R_00000000000147,1,2,,2,1,2,1,2,1,2,1,,,,,2,,4,,,3,1,,,,,,,,,10,,,9,3,,,2,6,4,11,8,1,,5,12,7,,,,,,,,,,,,,
R_00000000000148,3,1,2,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000000149,2,1,3,2,1,2,1,1,2,2,1,,,,,,,4,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,4,,2,,1,,,,
R_00000000000150,2,1,,,1,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,
R_00000000000151,2,3,1,1,2,,1,1,,1,2,,,,,,1,,2,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,,1,,4,2,,,,,
R_00000000000152,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000153,3,1,2,2,1,1,2,2,1,2,1,,,,,4,,2,,1,,3,,,,,,,,,11,2,,1,12,,,5,,4,10,6,7,,9,3,8,,,,,,,,,,,,,
R_00000000000154,,1,,,1,1,,,1,1,,,,,,4,,,,1,2,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_00000000000155,3,1,2,1,2,1,2,2,1,1,2,,,,,,2,,1,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,4,5,,1,,,,
R_00000000000156,2,1,3,2,1,1,,,1,,1,,,,,3,,1,,4,2,,,,,,,,,,9,,,3,,,,1,,4,6,2,,,7,5,8,,,,,,,,,,,,,
R_00000000000157,,,,,,2,1,1,2,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000158,2,1,3,2,1,2,1,1,2,1,2,,,,,,4,,,3,2,,1,,,1,,,12,,,4,,2,,,10,5,7,8,,11,,6,9,,3,,,,,,,,,,,,,
R_00000000000159,2,3,1,2,1,1,2,2,1,2,1,,,,,3,,2,,4,,,1,,,12,11,,,,2,7,,1,,,,10,,8,6,5,,,3,9,4,,,,,,,,,,,,1,2
R_00000000000160,2,1,3,2,1,1,2,2,1,2,1,2,1,4,3,,,,,,,,,,,12,,,,,1,11,,2,,,,10,,5,9,6,8,,4,3,7,,,,,,,,,,,,,
R_00000000000161,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,4,,2,3,,,,,,,,,,9,10,,2,,12,,11,,1,5,8,7,,3,6,4,,,,,,,,,,,,,
R_00000000000162,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,2,,1,4,,,,,,,,,,8,6,,2,,,,1,,7,9,10,4,,,3,5,,,,,,,,,,,,,
R_00000000000163,1,3,2,1,2,2,1,1,2,2,1,,,,,1,2,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000164,,,1,1,,,1,1,,1,,,,,,,3,,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,4,,,,,
R_00000000000165,1,3,2,1,2,1,,1,,,1,,,,,2,,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,4,,,3,,,,,
R_00000000000166,2,1,3,2,1,1,2,2,1,2,1,,,,,4,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,5,,,,,4,,,,
R_00000000000167,2,1,3,2,1,1,2,1,2,1,2,,,,,,4,2,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
R_00000000000168,3,2,1,1,2,2,1,1,2,2,1,,,,,,3,2,4,,,1,,,,,,,,,3,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,
R_00000000000169,2,1,3,2,1,1,2,2,1,2,1,,,,,1,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
R_00000000000170,3,2,1,1,,2,1,2,1,1,2,,,,,4,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,4,2,,,,,,,
R_00000000000171,3,1,2,2,1,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000000172,,,1,1,,,1,1,,1,,,,,,,2,,1,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,4,,,,,
R_00000000000173,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000174,3,1,2,2,1,2,1,,,2,1,,,,,,,2,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000175,,,,2,1,1,2,2,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000176,2,1,3,2,1,1,2,2,1,1,2,,,,,1,,,,2,3,,,,,2,,,,,,3,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,
R_00000000000177,,1,,,1,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,2,,,,,,,,,,,,,
R_00000000000178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000000179,,,1,1,,,1,1,,1,,,,,,,2,,1,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,4,3,,,,,
R_00000000000180,,,,1,2,2,1,1,2,2,1,,,,,,1,4,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
R_00000000000181,,1,,,1,1,,,1,,1,,,,,4,,2,,1,,3,,,,,,,,,3,9,,4,,5,,12,,8,7,1,11,,6,10,2,,,,,,,,,,,,1,
R_00000000000182,3,2,1,1,2,2,1,1,2,,,,,,,,1,,4,,,2,3,,,5,11,3,6,10,,,9,,8,4,7,,2,,,,,1,,,,,,,,,,,,,,,,
R_00000000000183,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,1,,,,,4,,,,
R_00000000000184,2,1,3,2,1,1,2,2,1,,,,,,,2,,4,,1,3,,,,,,,,,,2,1,,10,,,,5,,6,7,11,9,,3,4,8,,,,,,,,,,,,,
R_00000000000185,3,1,2,2,1,1,2,2,1,2,1,,,,,2,,3,,1,4,,,,,,,,,,8,2,,1,12,,,3,,7,10,5,6,,9,11,4,,,,,,,,,,,,,
R_00000000000186,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000187,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000188,,1,,,1,1,,,1,,1,,,,,1,,2,,4,3,,,,,,,,,,7,1,,5,,,,6,,9,10,3,8,,4,11,2,,,,,,,,,,,,,
R_00000000000189,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,2,,4,1,,,,,,,,,,10,2,,4,12,,,3,,11,9,8,7,,1,5,6,,,,,,,,,,,,,
R_00000000000190,,,1,1,,,1,1,,1,,,,,,,3,,1,,,4,2,,,6,8,9,1,,,,4,,7,5,2,,10,,,,,3,,,,,,,,,,,,,,,,
R_00000000000191,3,1,2,2,1,2,1,1,2,1,2,,,,,,3,,1,,4,2,,,,1,10,12,4,11,9,7,6,,5,2,,,,,,3,,,8,,,,,,,,,,,,,,,
R_00000000000192,3,2,1,2,1,1,2,1,2,1,2,,,,,,,,,,,,,2,1,4,,3,,,,1,,2,,7,10,9,,,,5,,8,,,6,,,,,,,,,,,,,
R_00000000000193,2,1,3,2,1,1,2,2,1,2,1,,,,,4,,2,,1,3,,,,,,,,,,7,11,,1,,,,10,,2,4,5,3,,8,6,9,,,,,,,,,,,,,
R_00000000000194,3,1,2,2,1,2,1,2,1,2,1,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000195,3,1,2,2,1,1,2,2,1,,1,,,,,2,,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,1,,3,,,4,,,,
R_00000000000196,3,2,1,2,1,1,2,2,1,2,1,,,,,4,2,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,1,,5,3,,,,
R_00000000000197,,1,2,1,2,1,2,2,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000198,,,1,1,,,1,1,,1,2,,,,,,4,,1,,,2,3,,,3,8,10,5,4,,,9,,11,6,2,,7,,,,,1,,,,,,,,,,,,,,,,
R_00000000000199,2,1,3,1,2,1,2,2,1,2,1,,,,,4,,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,4,,5,,2,,,,
R_00000000000200,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,5,,2,,,3,,,,
R_00000000000201,2,1,3,2,1,1,2,2,1,1,2,2,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,3,,4,,,2,,,,
R_00000000000202,2,1,3,2,1,1,2,2,1,1,2,,,,,1,,2,,3,4,,,,,,,,,,8,1,,6,,,,4,,,10,9,3,,5,7,2,,,,,,,,,,,,,
R_00000000000203,3,1,2,1,2,2,1,2,1,1,2,,,,,,1,4,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,4,5,1,,,,
R_00000000000204,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,1,,,4,2,,,10,6,7,2,5,,,9,,8,1,4,12,11,,,,,3,,,,,,,,,,,,,,,,
R_00000000000205,2,1,3,,1,1,,,1,,1,,,,,2,,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
R_00000000000206,2,3,1,1,2,2,1,2,1,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,
R_00000000000207,3,1,2,2,1,1,2,2,1,2,1,,,,,4,,1,,2,3,,,,,,,,11,,7,3,10,1,6,,,4,,2,,8,5,,,12,9,,,,,,,,,,,,,
R_00000000000208,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
R_00000000000209,3,2,1,1,2,2,1,1,2,1,,,,,,4,2,,,,,3,1,,,2,7,8,,4,,,,,5,,1,,6,,,,,3,,,,,,,,,,,,,,,,
R_00000000000210,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000211,2,1,3,2,1,1,2,2,1,2,1,,,,,2,,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000000212,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,2,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,4,,1,,,2,,,,
R_00000000000213,3,1,2,2,1,1,2,2,1,2,1,,,,,2,,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,1,,5,,,2,,,,
R_00000000000214,,,1,1,,,1,1,,1,,,,,,,4,,3,,,1,2,,,8,,3,6,,,,7,,2,5,1,,,,,,,4,,,,,,,,,,,,,,,,
R_00000000000215,3,1,2,2,1,2,1,2,1,2,1,,,,,4,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,4,5,2,,,,
R_00000000000216,3,2,1,1,2,2,1,1,2,1,2,,,,,,4,,2,,,3,1,,,9,7,5,4,10,,,3,,11,6,2,,8,,,,,1,,,,,,,,,,,,,,,,
R_00000000000217,,1,,,1,1,,,1,,1,,,,,4,,1,,2,3,,,,,,,,,,8,3,,6,,,,2,,9,11,5,1,,7,10,4,,,,,,,,,,,,,
R_00000000000218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000000219,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
R_00000000000220,3,1,2,1,2,2,1,1,2,,1,,,,,,2,,4,,,3,1,,,9,11,12,8,10,,,5,,4,3,6,,2,,,,,7,,,1,,,,,,,,,,,,,
R_00000000000221,2,1,3,1,2,1,2,2,1,1,2,,,,,2,4,,3,,1,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000000222,2,3,1,2,1,2,1,1,2,2,1,,,,,,,3,2,,,1,4,,,3,,10,2,4,,11,6,,1,8,5,,7,,,,,9,,,,,,,,,,,,,,,,
R_00000000000223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000224,3,1,2,2,1,2,1,2,1,2,1,,,,,4,,3,,1,,2,,,,8,,,,,10,1,,6,,,,12,,9,4,5,2,,11,3,7,,,,,,,,,,,,,
R_00000000000225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000226,,,1,1,,,1,1,,1,,,,,,,3,,2,,,4,1,,,7,5,8,10,9,,,4,,3,11,2,,6,,,,,1,,,,,,,,,,,,,,,,
R_00000000000227,3,1,2,1,2,2,1,2,1,2,1,,,,,,3,2,,4,1,,,,,2,,4,,,,6,,1,,,7,8,,11,12,10,5,3,,,9,,,,,,,,,,,,,
R_00000000000228,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000229,3,1,2,1,2,1,2,2,1,1,2,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000230,2,1,3,1,2,1,2,2,1,2,1,,,,,,,4,,,2,3,1,,,5,,6,7,,,8,,3,11,4,12,,,1,,,,10,2,,9,,,,,,,,,,,,,
R_00000000000231,2,1,3,2,1,1,2,2,1,2,1,,,,,1,,2,,4,3,,,,,,,,,,10,1,,12,4,,,3,,5,9,11,8,,6,7,2,,,,,,,,,,,,,
R_00000000000232,3,2,1,2,1,2,1,1,2,2,1,,,,,4,3,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000233,1,2,3,2,1,1,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000234,,,1,1,,,1,1,,1,,,,,,,1,,3,,,4,2,,,6,8,4,,7,,,2,,,3,5,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000000235,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,5,,1,,,2,,,,
R_00000000000236,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,2,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,4,,3,,,1,,,,
R_00000000000237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000000238,3,1,2,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000239,2,1,3,2,1,2,1,1,2,2,1,,,,,1,,3,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,2,,5,3,,,,
R_00000000000240,3,1,2,2,1,2,1,2,1,2,1,,,,,4,,1,,3,,2,,,,,,,,,4,7,,2,,12,,1,,3,11,6,5,,8,9,10,,,,,,,,,,,,,
R_00000000000241,3,1,2,2,1,1,2,1,2,2,1,,,,,1,,4,,,,2,3,,,,,,,,6,1,,8,4,,,3,,2,12,5,11,,7,10,9,,,,,,,,,,,,,
R_00000000000242,3,1,2,2,1,1,2,2,1,2,1,,,,,3,,2,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,3,,1,,,5,,,,
R_00000000000243,2,1,,,1,1,,,1,,,,,,,4,,1,,2,3,,,,,,,,,,8,6,,9,,,,1,,5,7,10,2,,11,4,3,,,,,,,,,,,,,
R_00000000000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000245,3,2,1,2,1,2,1,1,2,1,2,,,,,,1,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
R_00000000000246,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000247,1,2,3,2,1,1,2,2,1,2,1,,,,,2,,3,,4,1,,,,,,,,,,9,10,,7,,,,5,,2,6,11,1,,8,3,4,,,,,,,,,,,,,
R_00000000000248,,,1,1,,,1,1,,1,,,,,,,,,1,,,,,,,1,,2,3,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
R_00000000000249,2,1,3,2,1,1,2,2,1,,,,,,,2,,4,,3,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2
R_00000000000250,3,1,2,2,1,1,2,2,1,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000251,1,3,2,1,2,2,1,2,1,1,2,,,,,,4,,,2,,1,3,,,,,,,,,,,,1,,,2,3,,,,,,,,,,,,,,,,,,,,2,1
R_00000000000252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000253,3,2,1,1,2,2,1,1,2,1,2,,,,,,4,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,2,4,,,,,
R_00000000000254,3,1,2,2,1,1,2,1,2,2,1,,,,,3,1,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,4,,3,,,1,,,,
R_00000000000255,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,2,,4,3,,,,,12,,,,11,7,1,,10,,,,6,,4,,3,8,9,5,,2,,,,,,,,,,,,,
R_00000000000256,2,1,3,2,1,2,1,2,1,2,1,,,,,2,,4,,3,1,,,,,,,,,,6,2,,7,,,,9,11,5,3,8,4,,1,12,10,,,,,,,,,,,,,
R_00000000000257,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
R_00000000000258,3,1,2,2,1,2,1,2,1,2,1,,,,,1,,,,4,3,2,,,,,,,,,,2,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,
R_00000000000259,3,1,2,2,1,2,1,2,1,2,1,,,,,,,1,,2,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000260,2,1,3,1,2,2,1,1,2,,1,,,,,,,4,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000261,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000262,,1,,,1,1,,,1,,1,,,,,4,,3,,1,2,,,,,,,,,,6,3,,9,,,,2,,1,7,11,5,,10,8,4,,,,,,,,,,,,,
R_00000000000263,2,,1,1,,,1,1,,1,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000264,2,1,3,2,1,1,2,2,1,2,1,,,,,1,,2,,3,4,,,,,,,,,,10,2,,5,,,,4,,3,11,8,6,,9,7,1,,,,,,,,,,,,,
R_00000000000265,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,2,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,,5,,,2,,,,
R_00000000000266,1,2,3,2,1,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000267,,,,2,1,1,2,2,1,1,2,,,,,4,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,1,2,,,,,,,
R_00000000000268,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,4,,1,2,,,,,,,,,,3,4,,9,12,,,5,,1,10,8,6,,2,7,11,,,,,,,,,,,,,
R_00000000000269,3,2,1,1,2,2,1,1,2,1,2,,,,,,4,,3,,,1,2,,,7,2,3,11,9,,,10,,1,8,5,,6,,,,,4,12,,,,,,,,,,,,,,,
R_00000000000270,3,1,2,1,2,2,1,2,1,1,2,,,,,,,,4,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,4,5,,,,
R_00000000000271,2,1,3,2,1,1,2,2,1,1,2,,,,,3,4,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000272,,1,,,1,1,,,1,,,,,,,3,,1,,2,4,,,,,,,,,,10,5,,11,,,,1,,3,8,9,2,,7,6,4,,,,,,,,,,,,,
R_00000000000273,3,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000274,1,2,3,2,1,2,1,2,1,2,1,,,,,1,,,,,3,4,2,,,,11,,,5,12,,,6,2,,,8,9,7,3,,1,,10,4,,,,,,,,,,,,,,
R_00000000000275,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,1,,4,2,,,,,,12,,,,10,3,,8,11,,,1,,9,,5,6,,7,4,2,,,,,,,,,,,,,
R_00000000000276,2,3,1,2,1,2,1,2,1,2,1,,,,,2,,,4,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,,3,2,,,,,
R_00000000000277,3,2,1,1,2,2,1,1,2,1,2,,,,,,4,,1,,,3,2,,,6,4,,10,7,12,,1,,8,5,3,,9,,11,,,2,,,,,,,,,,,,,,,,
R_00000000000278,,,1,1,,,1,1,,1,,,,,,,3,,2,,,4,1,,,6,10,4,5,9,,,7,,8,3,2,,11,,,,,1,,,,,,,,,,,,,,,,
R_00000000000279,1,3,2,2,1,2,1,2,1,1,2,,,,,,2,3,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,4,,3,2,,,,
R_00000000000280,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000281,3,2,1,2,1,1,2,1,2,2,1,,,,,2,,1,,3,4,,,,,2,,8,5,,,6,9,,,7,11,,4,,,3,,,1,10,,,,,,,,,,,,,,
R_00000000000282,2,1,3,,1,1,,,1,,,,,,,4,,1,,2,3,,,,,,,,,,7,5,,9,,,,6,,2,3,4,1,,10,11,8,,,,,,,,,,,,,
R_00000000000283,2,3,1,2,1,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000284,2,1,3,2,1,1,2,2,1,1,2,,,,,4,,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,4,,2,,,3,,,,
R_00000000000285,2,3,1,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_00000000000286,,,1,1,,,1,1,,1,,,,,,,3,,4,,,2,1,,,5,6,,,,,,3,,1,,4,,2,,,,,,,,,,,,,,,,,,,,,
R_00000000000287,2,1,3,,1,1,,,1,,1,,,,,2,,1,,3,4,,,,,,,,,,,2,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,
R_00000000000288,2,3,1,1,2,2,1,1,2,1,2,,,,,,4,,1,,,2,3,,,8,4,9,7,6,11,,2,,3,,1,10,5,,,,,,,,12,,,,,,,,,,,,,
R_00000000000289,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
